bike,start_time,end_time,start_st,end_st
540_14,2017-07-01 07:07:38.697414,2017-07-01 07:16:21.040295,540,385
457_19,2017-07-01 07:07:38.911370,2017-07-01 07:18:36.767897,457,484
3160_19,2017-07-01 07:07:42.084336,2017-07-01 07:21:40.420725,3160,2006
e_3199_0,2017-07-01 07:07:45.157293,2017-07-01 07:30:08.283879,3199,3184
e_238_0,2017-07-01 07:07:58.724329,2017-07-01 07:11:02.664674,238,127
e_3175_0,2017-07-01 07:08:33.795286,2017-07-01 07:10:47.234948,3175,3173
3160_18,2017-07-01 07:08:35.559771,2017-07-01 07:18:32.270278,3160,3314
e_3443_0,2017-07-01 07:08:56.944989,2017-07-01 07:15:53.252146,3443,492
e_3233_0,2017-07-01 07:09:12.470022,2017-07-01 07:17:30.607254,3233,3163
e_321_0,2017-07-01 07:09:12.993834,2017-07-01 07:10:35.794022,321,232
e_504_0,2017-07-01 07:09:21.095727,2017-07-01 07:13:27.901480,504,536
522_25,2017-07-01 07:09:23.641325,2017-07-01 07:20:09.219569,522,477
e_304_0,2017-07-01 07:09:35.516538,2017-07-01 07:14:44.970584,304,308
3285_21,2017-07-01 07:09:51.514471,2017-07-01 07:24:48.053476,3285,3443
341_9,2017-07-01 07:09:54.943698,2017-07-01 07:23:44.859892,341,359
546_17,2017-07-01 07:10:03.727126,2017-07-01 07:45:02.939290,546,532
e_168_0,2017-07-01 07:10:17.051607,2017-07-01 07:17:15.338852,168,526
e_304_1,2017-07-01 07:10:45.200070,2017-07-01 07:24:03.646482,304,3255
513_12,2017-07-01 07:10:45.824264,2017-07-01 07:19:23.841565,513,267
3235_15,2017-07-01 07:10:53.883263,2017-07-01 07:20:34.583990,3235,3443
485_19,2017-07-01 07:10:59.682618,2017-07-01 07:16:46.149060,485,524
3372_19,2017-07-01 07:11:26.106500,2017-07-01 07:27:03.400170,3372,469
e_495_0,2017-07-01 07:11:33.359292,2017-07-01 07:13:46.624690,495,513
237_19,2017-07-01 07:11:35.757327,2017-07-01 07:14:13.937829,432,301
e_3440_0,2017-07-01 07:11:37.954729,2017-07-01 07:16:10.881970,3440,274
e_358_1,2017-07-01 07:11:41.040014,2017-07-01 07:14:44.270343,358,284
3343_11,2017-07-01 07:11:45.074088,2017-07-01 07:35:25.366751,3343,305
439_14,2017-07-01 07:11:57.373445,2017-07-01 07:22:27.776255,439,320
3402_11,2017-07-01 07:12:03.405287,2017-07-01 07:37:41.476734,3402,387
497_27,2017-07-01 07:12:07.914708,2017-07-01 07:22:14.777553,497,462
369_17,2017-07-01 07:12:08.388041,2017-07-01 07:33:12.159345,369,508
e_120_0,2017-07-01 07:12:23.706772,2017-07-01 07:35:55.810050,120,519
3167_27,2017-07-01 07:12:30.526972,2017-07-01 07:22:28.804620,3167,499
e_2006_0,2017-07-01 07:12:37.476371,2017-07-01 07:18:43.684294,2006,3168
e_388_1,2017-07-01 07:12:50.904736,2017-07-01 07:18:00.175530,388,470
3235_14,2017-07-01 07:12:53.528663,2017-07-01 07:30:05.652524,3235,2003
e_3065_0,2017-07-01 07:13:10.468244,2017-07-01 07:17:05.616043,3065,3087
e_2012_0,2017-07-01 07:13:15.734377,2017-07-01 07:19:36.302182,2012,379
e_361_1,2017-07-01 07:13:23.680981,2017-07-01 07:16:25.233612,361,265
444_14,2017-07-01 07:13:27.946687,2017-07-01 07:19:14.214593,444,116
e_3166_0,2017-07-01 07:13:34.656107,2017-07-01 07:31:44.646109,3166,379
528_19,2017-07-01 07:13:36.700064,2017-07-01 07:24:08.225520,528,3236
3168_15,2017-07-01 07:13:37.448237,2017-07-01 07:18:28.337893,3168,3171
3282_18,2017-07-01 07:13:42.621632,2017-07-01 07:32:44.669935,3282,3357
e_3331_0,2017-07-01 07:13:47.474373,2017-07-01 07:20:16.748489,3331,3305
e_3418_0,2017-07-01 07:13:50.032563,2017-07-01 07:15:50.388114,3418,3354
79_15,2017-07-01 07:13:54.010585,2017-07-01 07:19:29.680904,79,195
212_13,2017-07-01 07:14:07.386477,2017-07-01 07:19:28.827215,212,496
167_21,2017-07-01 07:14:14.185795,2017-07-01 07:36:41.845283,167,377
522_24,2017-07-01 07:14:26.661210,2017-07-01 07:26:50.825509,522,492
e_257_1,2017-07-01 07:14:46.752223,2017-07-01 07:18:48.879382,257,152
532_21,2017-07-01 07:14:55.664335,2017-07-01 07:25:18.019138,532,394
350_13,2017-07-01 07:15:10.095189,2017-07-01 07:34:38.844356,350,537
e_540_1,2017-07-01 07:15:26.379458,2017-07-01 07:20:19.264652,540,497
3052_11,2017-07-01 07:15:31.226801,2017-07-01 07:43:27.338241,3052,3242
e_434_0,2017-07-01 07:15:31.520764,2017-07-01 07:26:13.864000,434,327
515_17,2017-07-01 07:15:38.814214,2017-07-01 07:21:50.546918,515,3233
e_483_0,2017-07-01 07:15:48.418050,2017-07-01 07:27:13.727068,483,414
265_16,2017-07-01 07:15:49.709575,2017-07-01 07:24:18.366825,265,355
3141_29,2017-07-01 07:16:00.912662,2017-07-01 07:35:17.107085,3141,545
253_1,2017-07-01 07:16:14.592781,2017-07-01 07:20:04.544637,151,128
450_29,2017-07-01 07:16:36.562684,2017-07-01 07:23:28.818352,450,281
e_3244_0,2017-07-01 07:16:38.386917,2017-07-01 07:24:52.079756,3244,432
487_17,2017-07-01 07:16:38.991075,2017-07-01 07:25:49.126453,487,402
e_3100_0,2017-07-01 07:16:39.307662,2017-07-01 07:23:07.590154,3100,3119
e_368_0,2017-07-01 07:16:44.705355,2017-07-01 07:31:10.382554,368,350
e_2022_0,2017-07-01 07:16:48.387951,2017-07-01 07:24:39.471062,2022,3130
276_11,2017-07-01 07:16:54.409605,2017-07-01 07:32:59.022756,276,174
519_29,2017-07-01 07:16:58.943217,2017-07-01 07:27:09.914068,519,490
e_3351_0,2017-07-01 07:17:02.760559,2017-07-01 07:32:26.512330,3351,440
252_15,2017-07-01 07:17:21.118339,2017-07-01 07:25:14.746541,252,301
e_479_0,2017-07-01 07:17:25.422581,2017-07-01 07:30:29.933707,479,435
e_498_0,2017-07-01 07:17:27.992772,2017-07-01 07:23:01.880730,498,3443
e_293_0,2017-07-01 07:17:33.771467,2017-07-01 07:21:37.327738,540,3235
e_482_1,2017-07-01 07:17:35.550237,2017-07-01 07:23:29.520229,482,458
e_312_0,2017-07-01 07:17:42.259663,2017-07-01 07:29:14.529732,312,343
e_315_0,2017-07-01 07:17:47.717366,2017-07-01 07:34:49.952393,315,385
537_9,2017-07-01 07:17:49.377646,2017-07-01 07:25:38.990851,537,517
266_11,2017-07-01 07:17:59.211619,2017-07-01 07:20:17.625205,266,339
3054_9,2017-07-01 07:18:06.282384,2017-07-01 07:28:31.444120,3054,3069
e_432_0,2017-07-01 07:18:07.397137,2017-07-01 07:25:31.369195,432,537
e_3428_0,2017-07-01 07:18:11.734741,2017-07-01 07:20:53.866481,3428,405
e_490_0,2017-07-01 07:18:12.035511,2017-07-01 07:27:45.862385,490,441
232_11,2017-07-01 07:18:12.243519,2017-07-01 07:34:57.380007,232,282
e_308_0,2017-07-01 07:18:21.024173,2017-07-01 07:22:19.561109,308,412
492_29,2017-07-01 07:18:23.955467,2017-07-01 07:26:13.004470,492,236
