stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,demand,percent,edocks
3016,22865,22859,221,1615,0,1102,47,47560,0.002805968,2
529,21698,21692,315,3547,0,499,41,47252,0.002787797,2
524,21160,21182,314,4373,0,822,57,47029,0.00277464,2
3258,22180,22192,189,2457,0,744,37,47018,0.002773991,2
530,21066,21068,282,4563,0,628,24,46979,0.00277169,2
517,21283,21306,0,4314,0,776,59,46903,0.002767206,2
474,21847,21865,111,3030,0,718,47,46853,0.002764256,2
3163,19954,19960,0,6687,0,263,43,46601,0.002749389,2
428,21599,21591,318,3073,0,733,30,46581,0.002748209,2
526,21674,21690,64,3113,0,646,39,46541,0.002745849,2
3167,20815,20830,0,4625,0,233,55,46270,0.00272986,2
167,21369,21363,41,3330,0,999,45,46103,0.002720007,2
2003,21552,21535,249,2741,0,579,39,46077,0.002718473,2
501,20803,20792,40,4203,0,487,43,45838,0.002704373,2
363,21744,21752,120,2206,0,938,49,45822,0.002703429,2
540,21353,21365,39,3010,0,649,30,45767,0.002700184,2
448,21083,21084,59,3489,0,498,31,45715,0.002697116,2
468,20593,20611,3,4502,0,880,49,45709,0.002696762,2
326,21092,21096,1232,2181,0,563,27,45601,0.00269039,2
361,21508,21492,152,2223,0,773,43,45375,0.002677057,2
3164,18306,18323,0,8697,0,208,67,45326,0.002674166,2
476,21144,21128,19,2745,0,499,47,45036,0.002657056,2
301,20944,20928,419,2610,0,680,37,44901,0.002649091,2
3233,20689,20697,258,3185,0,378,39,44829,0.002644843,2
279,21162,21170,180,2079,0,748,36,44591,0.002630802,2
438,21007,20996,165,2058,0,524,41,44226,0.002609267,2
439,20211,20201,499,3130,0,706,30,44041,0.002598353,2
377,16996,17014,1857,7873,0,585,45,43740,0.002580594,2
3093,20500,20506,288,2114,0,865,28,43408,0.002561007,2
546,20141,20145,65,2903,0,531,38,43254,0.002551921,2
447,19783,19778,51,3400,0,537,23,43012,0.002537643,2
508,19853,19847,315,2910,0,614,24,42925,0.00253251,2
487,18634,18625,305,5256,0,507,36,42820,0.002526315,2
412,20231,20222,159,2161,0,980,29,42773,0.002523542,2
536,19661,19665,160,3177,0,512,29,42663,0.002517053,2
3458,19806,19816,343,2600,0,443,40,42565,0.002511271,2
268,19720,19729,422,2416,0,668,27,42287,0.002494869,2
195,19662,19680,213,2717,0,1351,45,42272,0.002493984,2
116,20112,20112,88,1939,0,690,30,42251,0.002492745,2
267,19318,19341,0,3145,0,804,57,41804,0.002466373,2
217,19613,19604,1207,1015,0,888,39,41439,0.002444838,2
484,19051,19067,129,3170,0,484,44,41417,0.002443541,2
470,19693,19690,156,1697,0,477,38,41236,0.002432862,2
532,19167,19167,105,2780,0,984,43,41219,0.002431859,2
305,18977,18987,355,2674,0,334,33,40993,0.002418525,2
539,19466,19447,365,1567,0,960,31,40845,0.002409793,2
3142,18794,18796,6,2891,0,214,41,40487,0.002388672,2
3158,17589,17600,5,4982,0,304,31,40176,0.002370323,2
525,18796,18809,28,2463,0,481,39,40096,0.002365604,2
72,18491,18500,22,2600,0,437,39,39613,0.002337107,2
319,18411,18423,245,2486,0,875,33,39565,0.002334275,2
257,18439,18434,240,2360,0,669,39,39473,0.002328847,2
495,18283,18292,112,2727,0,305,25,39414,0.002325367,2
528,18000,18011,12,3306,0,609,39,39329,0.002320352,2
328,18225,18234,271,2425,0,813,23,39155,0.002310086,2
355,18620,18634,56,1795,0,641,43,39105,0.002307136,2
515,18143,18129,106,2669,0,288,35,39047,0.002303714,2
307,18154,18159,199,2225,0,773,30,38737,0.002285425,2
346,18194,18183,348,2007,0,438,27,38732,0.00228513,2
3244,18232,18221,89,1941,0,563,31,38483,0.002270439,2
3236,14209,14197,1261,8810,0,258,33,38477,0.002270085,2
388,18242,18238,243,1735,0,627,35,38458,0.002268964,2
3259,18146,18136,421,1585,0,507,27,38288,0.002258934,2
309,17942,17958,440,1523,0,507,41,37863,0.00223386,2
403,17542,17550,256,2331,0,724,31,37679,0.002223004,2
3168,16428,16429,11,4699,0,112,31,37567,0.002216396,2
3436,17525,17537,303,2177,0,624,30,37542,0.002214921,2
485,17386,17402,58,2591,0,468,39,37437,0.002208727,2
252,17727,17721,129,1793,0,578,33,37370,0.002204774,2
259,17345,17349,185,2314,0,507,39,37193,0.002194331,2
253,13981,13982,1793,7374,0,430,3,37130,0.002190614,2
520,15154,15170,1310,5458,0,231,39,37092,0.002188372,2
3463,17669,17682,309,1321,0,797,37,36981,0.002181823,2
317,16759,16750,748,2695,0,541,27,36952,0.002180112,2
303,17306,17318,193,2093,0,510,31,36910,0.002177634,2
325,17190,17174,96,1893,0,632,35,36353,0.002144772,2
335,17202,17203,172,1750,0,522,27,36327,0.002143238,2
2002,17145,17144,300,1608,0,856,27,36197,0.002135568,2
3140,16533,16543,34,2888,0,219,55,35998,0.002123828,2
3429,17015,17003,162,1686,0,767,39,35866,0.00211604,2
2010,16810,16822,592,1518,0,567,39,35742,0.002108724,2
480,16306,16300,52,2948,0,373,27,35606,0.0021007,2
3159,15541,15537,15,4014,0,237,31,35107,0.00207126,2
2012,16201,16210,175,2415,0,463,36,35001,0.002065006,2
3223,13622,13643,1171,6444,0,370,53,34880,0.002057867,2
153,15794,15805,115,3124,0,337,30,34838,0.002055389,2
348,16290,16283,180,1854,0,504,30,34607,0.002041761,2
394,15695,15693,344,2573,0,534,32,34305,0.002023943,2
223,16126,16112,120,1719,0,572,33,34077,0.002010492,2
430,15711,15713,684,1441,0,816,30,33549,0.00197934,1
473,15723,15713,246,1725,0,759,38,33407,0.001970963,1
3143,15122,15137,6,3012,0,174,47,33277,0.001963293,1
500,14905,14925,18,3331,0,765,52,33179,0.001957511,1
3409,15866,15872,165,1263,0,857,35,33166,0.001956744,1
174,15521,15533,94,1976,0,463,30,33124,0.001954266,1
238,15225,15225,242,2110,0,370,31,32802,0.001935269,1
385,15051,15063,9,2662,0,388,30,32785,0.001934266,1
3112,15654,15641,162,1298,0,738,33,32755,0.001932496,1
3147,14865,14862,7,2946,0,169,39,32680,0.001928071,1
2000,15169,15163,764,1251,0,695,30,32347,0.001908424,1
3166,14961,14955,25,2172,0,222,41,32113,0.001894619,1
3466,14598,14610,235,2651,0,335,30,32094,0.001893498,1
3173,14771,14754,108,2418,0,247,39,32051,0.001890961,1
3383,14551,14554,33,2815,0,197,25,31953,0.001885179,1
369,15007,15000,224,1514,0,502,35,31745,0.001872907,1
502,14851,14834,264,1604,0,467,30,31553,0.001861579,1
3461,14680,14693,257,1786,0,449,33,31416,0.001853497,1
3349,14751,14762,118,1777,0,514,30,31408,0.001853025,1
3235,14611,14623,65,2030,0,344,31,31329,0.001848364,1
469,13347,13370,0,4530,0,530,57,31247,0.001843526,1
350,14552,14535,262,1860,0,513,28,31209,0.001841284,1
3160,13308,13316,0,4529,0,122,39,31153,0.00183798,1
441,14264,14277,17,2485,0,465,35,31043,0.00183149,1
460,14677,14671,184,1457,0,670,23,30989,0.001828304,1
296,14581,14565,66,1624,0,616,35,30836,0.001819277,1
247,14071,14060,249,2015,0,358,20,30395,0.001793259,1
280,14218,14220,48,1626,0,447,31,30112,0.001776563,1
164,13560,13580,33,2706,0,353,47,29879,0.001762816,1
427,14010,14003,59,1717,0,460,47,29789,0.001757506,1
440,13532,13545,430,2242,0,406,32,29749,0.001755146,1
386,13863,13853,129,1489,0,507,43,29334,0.001730662,1
306,13753,13746,109,1336,0,468,30,28944,0.001707652,1
423,13174,13184,15,2390,0,344,27,28763,0.001696974,1
295,13455,13451,155,1579,0,508,24,28640,0.001689717,1
3107,13645,13658,118,1138,0,770,39,28559,0.001684938,1
513,13072,13080,23,2220,0,329,27,28395,0.001675262,1
320,13312,13300,186,1584,0,452,27,28382,0.001674495,1
3472,13454,13442,79,1402,0,326,39,28377,0.0016742,1
146,13523,13514,132,1150,0,470,39,28319,0.001670778,1
376,13316,13307,380,1099,0,547,43,28102,0.001657976,1
522,12883,12891,558,1554,0,452,51,27886,0.001645232,1
3090,13247,13245,252,1109,0,529,31,27853,0.001643285,1
3092,13049,13037,201,1532,0,615,27,27819,0.001641279,1
456,12845,12860,189,1911,0,254,35,27805,0.001640453,1
3171,12554,12565,6,2644,0,157,39,27769,0.001638329,1
351,12965,12980,159,1599,0,416,39,27703,0.001634435,1
