stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,demand,percent,edocks
248,5090,5094,58,890,0,167,23,11132,0.000656771,0
3422,5262,5254,55,533,0,327,21,11104,0.000655119,0
3407,5271,5258,60,493,0,277,23,11082,0.000653821,0
3311,5166,5164,122,609,0,366,21,11061,0.000652582,0
3341,5019,5031,0,971,0,120,41,11021,0.000650222,0
3420,5153,5143,46,562,0,249,21,10904,0.00064332,0
3361,5152,5155,45,520,0,188,23,10872,0.000641432,0
3080,5092,5095,43,595,0,351,21,10825,0.000638659,0
3231,4968,4980,7,870,0,103,39,10825,0.000638659,0
3321,5109,5107,27,573,0,240,25,10816,0.000638128,0
3304,5086,5078,23,518,0,247,27,10705,0.000631579,0
3131,4900,4906,0,863,0,71,31,10669,0.000629455,0
3398,4961,4961,87,632,0,495,23,10641,0.000627803,0
3152,4797,4797,0,1018,0,105,41,10612,0.000626092,0
3310,5024,5016,33,523,0,164,24,10596,0.000625148,0
353,5022,5030,28,480,0,237,27,10560,0.000623024,0
3411,4954,4948,27,445,0,249,27,10374,0.00061205,0
3403,4912,4901,53,464,0,421,31,10330,0.000609454,0
3294,4601,4605,0,1083,0,50,38,10289,0.000607035,0
3377,4895,4884,45,442,0,259,25,10266,0.000605679,0
3306,4810,4815,16,589,0,196,23,10230,0.000603555,0
3366,4649,4658,3,877,0,90,31,10187,0.000601018,0
3419,4881,4866,58,371,0,225,27,10176,0.000600369,0
3068,4735,4732,187,451,0,433,24,10105,0.00059618,0
3202,3871,3878,7,2324,0,145,18,10080,0.000594705,0
3267,3250,3249,12,3567,0,30,14,10078,0.000594587,0
344,4626,4622,6,718,0,205,23,9972,0.000588333,0
3454,4657,4658,35,603,0,345,24,9953,0.000587212,0
278,4618,4625,33,656,0,204,19,9932,0.000585973,0
3389,4696,4701,51,438,0,268,28,9886,0.000583259,0
3397,4722,4710,38,403,0,265,25,9873,0.000582492,0
397,4412,4419,1,958,0,207,27,9790,0.000577595,0
3358,4587,4589,21,581,0,165,25,9778,0.000576887,0
3370,4491,4491,12,781,0,65,25,9775,0.00057671,0
3284,4452,4465,0,854,0,73,38,9771,0.000576474,0
3319,4556,4545,44,531,0,225,21,9676,0.000570869,0
3415,4593,4584,19,440,0,179,25,9636,0.000568509,0
3076,4499,4492,30,578,0,344,24,9599,0.000566327,0
3384,4589,4575,59,372,0,299,25,9595,0.000566091,0
3375,4343,4340,2,887,0,36,35,9572,0.000564734,0
3081,4454,4450,29,434,0,255,23,9367,0.000552639,0
3457,4508,4510,15,330,0,71,46,9363,0.000552403,0
3390,4289,4292,12,735,0,40,24,9328,0.000550338,0
2022,4138,4142,0,925,0,112,33,9205,0.000543081,0
3094,4240,4235,43,659,0,326,18,9177,0.000541429,0
3316,4142,4144,0,879,0,42,30,9165,0.000540721,0
400,4062,4062,115,878,0,139,15,9117,0.000537889,0
144,4269,4267,129,316,0,249,19,8981,0.000529865,0
275,4056,4052,23,831,0,183,19,8962,0.000528744,0
3067,4277,4270,38,368,0,260,27,8953,0.000528213,0
3369,4114,4109,2,644,0,81,29,8869,0.000523258,0
216,3896,3896,1,1024,0,180,23,8817,0.00052019,0
3347,4146,4147,85,355,0,283,21,8733,0.000515234,0
120,3927,3924,30,815,0,188,19,8696,0.000513051,0
3343,3988,3985,8,707,0,32,23,8688,0.000512579,0
3410,4168,4149,9,338,0,193,31,8664,0.000511163,0
3388,4033,4029,20,579,0,231,25,8661,0.000510986,0
3355,4038,4037,17,553,0,59,25,8645,0.000510042,0
3379,3995,4002,4,546,0,39,35,8547,0.00050426,0
3105,4048,4037,43,349,0,213,24,8477,0.00050013,0
3042,4036,4044,18,378,0,168,19,8476,0.000500071,0
3339,4013,4016,40,325,0,173,23,8394,0.000495233,0
3303,4017,4006,36,322,0,196,25,8381,0.000494466,0
409,3827,3829,29,620,0,210,19,8305,0.000489982,0
3325,3787,3796,4,664,0,78,30,8251,0.000486797,0
3047,3848,3851,7,515,0,136,21,8221,0.000485027,0
3329,3912,3921,48,298,0,178,27,8179,0.000482549,0
3425,3823,3830,0,510,0,31,33,8163,0.000481605,0
3122,3938,3940,17,260,0,138,31,8155,0.000481133,0
3052,3748,3748,16,635,0,174,23,8147,0.000480661,0
3412,3809,3804,42,476,0,182,18,8131,0.000479717,0
3344,3808,3800,78,407,0,256,19,8093,0.000477475,0
3359,3652,3658,0,780,0,46,35,8090,0.000477298,0
419,3814,3809,22,398,0,286,23,8043,0.000474525,0
3187,2830,2834,0,2319,0,32,22,7983,0.000470985,0
3353,3772,3755,59,334,0,277,30,7920,0.000467268,0
3085,0,0,0,7904,0,0,0,7904,0.000466324,0
3088,3776,3779,40,308,0,202,19,7903,0.000466265,0
3413,3700,3707,19,446,0,185,22,7872,0.000464436,0
3157,3618,3612,2,636,0,62,27,7868,0.0004642,0
3386,3684,3682,27,395,0,182,27,7788,0.00045948,0
3404,3733,3729,10,270,0,151,27,7742,0.000456766,0
3455,3713,3695,28,262,0,174,30,7698,0.00045417,0
3476,3677,3668,14,279,0,182,30,7638,0.00045063,0
245,3423,3427,4,734,0,161,23,7588,0.000447681,0
3062,3577,3572,21,368,0,183,23,7538,0.000444731,0
3199,2845,2851,2,1824,0,54,14,7522,0.000443787,0
3345,3427,3441,0,598,0,33,35,7466,0.000440483,0
3121,3319,3322,5,497,0,95,27,7143,0.000421426,0
3276,2631,2638,3,1824,0,21,26,7096,0.000418653,0
3297,3284,3291,5,498,0,123,21,7078,0.000417591,0
3214,2398,2405,0,2138,0,39,22,6941,0.000409509,0
3437,3208,3222,0,473,0,42,39,6903,0.000407267,0
372,3282,3291,7,321,0,162,27,6901,0.000407149,0
3049,3218,3220,22,429,0,150,18,6889,0.000406441,0
3213,2343,2350,0,2139,1,19,22,6832,0.000403078,0
3317,3293,3297,18,217,0,154,24,6825,0.000402665,0
3120,3278,3282,5,256,0,75,20,6821,0.000402429,0
3241,3127,3122,13,490,0,112,19,6752,0.000398358,0
3391,3110,3103,3,475,0,21,25,6691,0.000394759,0
3249,3141,3138,10,388,0,128,19,6677,0.000393933,0
3348,3132,3121,73,315,0,243,19,6641,0.000391809,0
3313,3142,3126,13,309,0,144,29,6590,0.0003888,0
3091,3070,3051,27,424,0,338,31,6572,0.000387738,0
3073,3076,3062,21,335,0,176,27,6494,0.000383136,0
3071,3034,3030,20,379,0,198,19,6463,0.000381307,0
3184,2486,2491,2,1468,0,55,14,6447,0.000380363,0
3057,2965,2959,29,468,0,184,18,6421,0.000378829,0
3058,2982,2984,3,425,0,129,24,6394,0.000377236,0
3192,2542,2551,0,1224,0,19,22,6317,0.000372693,0
3452,2970,2983,4,301,0,258,43,6258,0.000369213,0
289,2485,2475,2,1293,0,99,19,6255,0.000369036,0
3469,3034,3031,23,161,0,106,23,6249,0.000368682,0
420,2743,2751,2,751,0,171,23,6247,0.000368564,0
3056,2944,2935,30,288,0,156,23,6197,0.000365614,0
3275,2157,2161,0,1876,0,36,14,6194,0.000365437,0
436,2831,2841,1,493,0,100,27,6166,0.000363785,0
3095,2839,2846,16,397,0,236,23,6098,0.000359773,0
3405,2851,2854,7,314,0,111,23,6026,0.000355525,0
3445,2798,2786,8,389,0,46,30,5981,0.00035287,0
3048,2779,2779,6,411,0,128,19,5975,0.000352516,0
3050,2719,2727,1,506,0,118,21,5953,0.000351218,0
3072,2747,2743,3,443,0,154,24,5936,0.000350215,0
3041,2823,2818,14,257,0,97,24,5912,0.000348799,0
3054,2687,2691,12,472,0,116,19,5862,0.000345849,0
3055,2732,2736,12,380,0,124,23,5860,0.000345731,0
3381,2751,2754,19,254,0,120,21,5778,0.000340893,0
3144,2523,2533,0,684,0,63,46,5740,0.000338651,0
3324,2721,2714,33,241,0,199,25,5709,0.000336822,0
3046,2651,2654,7,344,0,89,19,5656,0.000333695,0
3066,2641,2637,22,244,0,132,19,5544,0.000327088,0
3363,2531,2530,0,410,0,31,33,5471,0.000322781,0
3185,1958,1967,0,1544,0,13,22,5469,0.000322663,0
3449,2568,2571,13,281,0,134,18,5433,0.000320539,0
3371,2597,2581,28,203,0,135,27,5409,0.000319123,0
3387,2499,2496,1,338,0,16,25,5334,0.000314698,0
3211,1836,1845,0,1651,0,25,22,5332,0.00031458,0
224,2581,2579,37,129,0,129,30,5326,0.000314226,0
3130,2533,2524,2,257,0,51,31,5316,0.000313636,0
373,2474,2478,17,339,0,113,19,5308,0.000313164,0
421,2454,2444,8,394,0,139,19,5300,0.000312692,0
3338,2508,2520,0,251,0,26,31,5279,0.000311453,0
488,2401,2399,1,440,0,44,30,5241,0.000309211,0
3479,2362,2378,0,410,0,24,45,5150,0.000303842,0
3399,2462,2453,19,159,0,111,24,5093,0.000300479,0
3070,2400,2406,17,252,0,144,23,5075,0.000299417,0
3060,2385,2382,4,263,0,99,19,5034,0.000296998,0
443,2117,2125,0,621,0,79,23,4863,0.00028691,0
2001,2306,2298,68,175,0,130,15,4847,0.000285966,0
3322,2331,2324,22,146,0,134,25,4823,0.00028455,0
3421,2253,2251,14,220,0,119,23,4738,0.000279535,0
3205,1803,1812,3,898,0,13,22,4516,0.000266437,0
3221,2084,2092,0,338,0,63,27,4514,0.000266319,0
3424,2113,2099,1,256,0,16,27,4469,0.000263664,0
3069,2080,2082,3,262,0,115,25,4427,0.000261186,0
3441,2100,2110,3,205,0,45,30,4418,0.000260655,0
3043,2046,2052,13,268,0,103,19,4379,0.000258354,0
3632,2077,2059,3,127,0,42,33,4266,0.000251688,0
3065,1977,1965,5,290,0,95,27,4237,0.000249977,0
3332,2004,2002,12,205,0,119,19,4223,0.000249151,0
3053,1948,1956,1,262,0,93,23,4167,0.000245847,0
3063,1962,1961,9,233,0,85,20,4165,0.000245729,0
3309,1896,1895,0,331,0,13,30,4122,0.000243192,0
3478,1958,1940,37,163,0,156,43,4098,0.000241776,0
3392,1962,1955,19,132,0,109,19,4068,0.000240006,0
3059,1892,1894,5,232,0,109,19,4023,0.000237351,0
3061,1886,1883,4,247,0,110,21,4020,0.000237174,0
3401,1938,1940,13,120,0,96,19,4011,0.000236643,0
3111,1911,1905,3,178,0,104,30,3997,0.000235817,0
3179,1847,1848,10,206,0,96,23,3911,0.000230743,0
3296,1691,1699,0,339,0,22,42,3729,0.000220005,0
3489,1779,1765,15,77,0,58,31,3636,0.000214519,0
3342,1673,1661,43,256,0,256,23,3633,0.000214342,0
3302,1347,1356,0,707,0,7,22,3410,0.000201185,0
3044,1604,1600,4,166,0,60,27,3374,0.000199061,0
3456,1593,1589,9,148,0,108,22,3339,0.000196996,0
3123,1580,1585,2,164,0,63,27,3331,0.000196524,0
119,1590,1583,13,122,0,72,19,3308,0.000195167,0
3127,1637,1621,6,30,0,30,35,3294,0.000194341,0
3128,1480,1471,0,254,0,32,23,3205,0.00018909,0
3393,1512,1513,13,145,0,140,19,3183,0.000187792,0
3486,1516,1513,6,124,0,78,30,3159,0.000186376,0
3273,975,981,0,1100,0,18,18,3056,0.000180299,0
3327,1353,1354,0,238,0,8,27,2945,0.000173751,0
3352,1390,1381,25,98,0,82,21,2894,0.000170742,0
3075,1387,1396,0,95,0,62,33,2878,0.000169798,0
3330,1334,1333,9,131,0,102,19,2807,0.000165609,0
3340,1298,1304,17,150,0,150,21,2769,0.000163367,0
3337,1279,1266,38,121,0,121,23,2704,0.000159532,0
3553,1182,1195,1,102,0,13,37,2480,0.000146316,0
3326,1072,1066,10,89,0,89,21,2237,0.00013198,0
2005,999,999,8,127,0,82,12,2133,0.000125844,0
3395,948,931,1,78,0,78,30,1958,0.000115519,0
3536,767,783,0,209,0,2,43,1759,0.000103778,0
3333,769,758,12,119,0,119,21,1658,9.78195E-05,0
3552,729,735,0,140,0,4,39,1604,9.46336E-05,0
3394,737,724,9,114,0,114,21,1584,9.34536E-05,0
3542,720,731,0,123,0,6,29,1574,9.28636E-05,0
3194,466,474,0,590,0,7,22,1530,9.02677E-05,0
3477,733,720,5,42,0,42,33,1500,8.84977E-05,0
3509,648,660,0,85,0,7,31,1393,8.21849E-05,0
3497,598,604,0,81,0,6,23,1283,7.56951E-05,0
3511,471,464,0,28,0,8,22,963,5.68155E-05,0
3496,417,420,0,11,0,4,25,848,5.00307E-05,0
3547,388,404,0,26,0,2,41,818,4.82608E-05,0
3518,385,397,0,33,0,5,34,815,4.80838E-05,0
3508,374,379,0,40,0,5,31,793,4.67858E-05,0
3635,0,0,0,791,0,0,0,791,4.66678E-05,0
3432,346,329,23,74,0,74,30,772,4.55468E-05,0
3193,259,262,0,221,0,1,18,742,4.37769E-05,0
3545,304,317,0,55,0,2,33,676,3.9883E-05,0
3529,287,291,0,3,0,3,25,581,3.42781E-05,0
3510,286,273,0,2,0,2,31,561,3.30982E-05,0
3481,172,180,0,196,0,8,22,548,3.23312E-05,0
3535,223,225,0,43,0,0,27,491,2.89683E-05,0
3245,229,213,7,41,0,41,30,490,2.89093E-05,0
3494,201,204,0,76,0,1,25,481,2.83783E-05,0
3533,208,210,0,31,0,4,34,449,2.64903E-05,0
3540,200,212,0,35,0,2,35,447,2.63723E-05,0
3201,136,142,0,152,0,2,18,430,2.53694E-05,0
3490,216,204,1,6,0,6,31,427,2.51924E-05,0
3495,202,201,0,10,0,1,26,413,2.43664E-05,0
3538,181,194,0,37,0,2,45,412,2.43074E-05,0
3501,177,187,0,30,0,2,29,394,2.32454E-05,0
3504,188,182,0,9,0,3,27,379,2.23604E-05,0
3502,188,182,0,2,0,2,29,372,2.19474E-05,0
3551,180,182,0,7,0,3,23,369,2.17704E-05,0
3500,169,181,0,8,0,2,31,358,2.11215E-05,0
3493,164,173,0,4,0,1,31,341,2.01185E-05,0
3637,175,160,0,6,0,6,31,341,2.01185E-05,0
3197,138,123,14,26,0,26,30,301,1.77585E-05,0
3503,133,143,0,18,0,2,30,294,1.73456E-05,0
3468,140,123,2,11,0,11,30,276,1.62836E-05,0
3531,117,128,0,25,0,2,27,270,1.59296E-05,0
3561,111,96,0,2,0,2,26,209,1.23307E-05,0
3257,97,83,0,0,0,0,30,180,1.06197E-05,0
3499,91,89,0,0,0,0,25,180,1.06197E-05,0
3554,90,89,0,1,0,1,27,180,1.06197E-05,0
3556,75,66,0,3,0,3,19,144,8.49578E-06,0
3492,72,70,0,1,0,1,27,143,8.43678E-06,0
3541,68,74,0,0,0,0,39,142,8.37779E-06,0
3560,68,63,0,1,0,1,19,132,7.7878E-06,0
3572,63,62,0,0,0,0,33,125,7.37481E-06,0
3573,50,59,0,6,0,3,25,115,6.78483E-06,0
3188,35,47,0,30,0,0,30,112,6.60783E-06,0
3507,48,59,0,3,0,0,36,110,6.48983E-06,0
3563,54,54,0,2,0,0,21,110,6.48983E-06,0
3602,45,51,0,4,0,2,23,100,5.89985E-06,0
3588,49,47,0,2,0,2,21,98,5.78185E-06,0
3565,39,47,0,2,0,0,19,88,5.19187E-06,0
3593,43,39,0,0,0,0,35,82,4.83788E-06,0
3506,44,32,0,1,0,1,29,77,4.54288E-06,0
3566,38,39,0,0,0,0,25,77,4.54288E-06,0
3570,36,27,0,0,0,0,31,63,3.7169E-06,0
3568,30,29,0,0,0,0,21,59,3.48091E-06,0
3592,27,27,0,0,0,0,19,54,3.18592E-06,0
3589,25,25,0,1,0,1,19,51,3.00892E-06,0
3603,23,22,0,0,0,0,21,45,2.65493E-06,0
3577,21,17,0,0,0,0,23,38,2.24194E-06,0
3598,17,19,0,0,0,0,19,36,2.12395E-06,0
3250,25,7,0,3,0,3,30,35,2.06495E-06,0
3641,32,0,0,0,0,0,54,32,1.88795E-06,0
533,27,0,3,0,0,0,45,30,1.76995E-06,0
3564,13,16,0,0,0,0,19,29,1.71096E-06,0
3609,16,13,0,0,0,0,23,29,1.71096E-06,0
3605,15,13,0,0,0,0,21,28,1.65196E-06,0
3567,18,8,0,0,0,0,19,26,1.53396E-06,0
3684,26,0,0,0,0,0,43,26,1.53396E-06,0
3586,13,12,0,0,0,0,19,25,1.47496E-06,0
3686,23,0,1,0,0,0,39,24,1.41596E-06,0
3470,10,13,0,0,0,0,30,23,1.35697E-06,0
3591,5,13,0,3,0,0,21,21,1.23897E-06,0
3656,19,0,1,0,0,0,31,20,1.17997E-06,0
3680,20,0,0,0,0,0,55,20,1.17997E-06,0
3480,18,0,1,0,0,0,30,19,1.12097E-06,0
3611,19,0,0,0,0,0,31,19,1.12097E-06,0
3610,12,6,0,0,0,0,27,18,1.06197E-06,0
3658,16,0,2,0,0,0,27,18,1.06197E-06,0
3299,15,0,2,0,0,0,25,17,1.00297E-06,0
3674,16,0,0,0,0,0,27,16,9.43976E-07,0
3648,15,0,0,0,0,0,25,15,8.84977E-07,0
3659,15,0,0,0,0,0,25,15,8.84977E-07,0
3676,14,0,0,0,0,0,24,14,8.25979E-07,0
3240,12,0,0,0,0,0,30,12,7.07982E-07,0
3669,11,0,0,0,0,0,19,11,6.48983E-07,0
3671,9,0,0,0,0,0,37,9,5.30986E-07,0
3247,8,0,0,0,0,0,30,8,4.71988E-07,0
3253,5,0,0,0,0,0,30,5,2.94992E-07,0
3040,2,2,0,0,0,0,30,4,2.35994E-07,0
3664,3,0,0,0,0,0,30,3,1.76995E-07,0
3689,3,0,0,0,0,0,47,3,1.76995E-07,0
3636,2,0,0,0,0,0,30,2,1.17997E-07,0
3471,1,0,0,0,0,0,30,1,5.89985E-08,0
298,0,0,0,0,0,0,35,0,0,0
3491,0,0,0,0,0,0,24,0,0,0
3498,0,0,0,0,0,0,21,0,0,0
3505,0,0,0,0,0,0,33,0,0,0
3513,0,0,0,0,0,0,21,0,0,0
3514,0,0,0,0,0,0,23,0,0,0
3515,0,0,0,0,0,0,19,0,0,0
3516,0,0,0,0,0,0,31,0,0,0
3517,0,0,0,0,0,0,35,0,0,0
3519,0,0,0,0,0,0,0,0,0,0
3520,0,0,0,0,0,0,27,0,0,0
3521,0,0,0,0,0,0,36,0,0,0
3522,0,0,0,0,0,0,19,0,0,0
3523,0,0,0,0,0,0,25,0,0,0
3524,0,0,0,0,0,0,23,0,0,0
3525,0,0,0,0,0,0,21,0,0,0
3526,0,0,0,0,0,0,27,0,0,0
3527,0,0,0,0,0,0,27,0,0,0
3528,0,0,0,0,0,0,21,0,0,0
3530,0,0,0,0,0,0,19,0,0,0
3532,0,0,0,0,0,0,27,0,0,0
3534,0,0,0,0,0,0,39,0,0,0
3537,0,0,0,0,0,0,29,0,0,0
3539,0,0,0,0,0,0,43,0,0,0
3544,0,0,0,0,0,0,27,0,0,0
3546,0,0,0,0,0,0,21,0,0,0
3555,0,0,0,0,0,0,27,0,0,0
3557,0,0,0,0,0,0,19,0,0,0
3558,0,0,0,0,0,0,27,0,0,0
3559,0,0,0,0,0,0,19,0,0,0
3562,0,0,0,0,0,0,27,0,0,0
3569,0,0,0,0,0,0,29,0,0,0
3574,0,0,0,0,0,0,23,0,0,0
3576,0,0,0,0,0,0,27,0,0,0
3578,0,0,0,0,0,0,21,0,0,0
3579,0,0,0,0,0,0,25,0,0,0
3580,0,0,0,0,0,0,30,0,0,0
3581,0,0,0,0,0,0,27,0,0,0
3582,0,0,0,0,0,0,28,0,0,0
3583,0,0,0,0,0,0,30,0,0,0
3584,0,0,0,0,0,0,30,0,0,0
3585,0,0,0,0,0,0,24,0,0,0
3587,0,0,0,0,0,0,27,0,0,0
3590,0,0,0,0,0,0,19,0,0,0
3595,0,0,0,0,0,0,18,0,0,0
3596,0,0,0,0,0,0,19,0,0,0
3597,0,0,0,0,0,0,25,0,0,0
3599,0,0,0,0,0,0,27,0,0,0
3601,0,0,0,0,0,0,19,0,0,0
3604,0,0,0,0,0,0,17,0,0,0
3606,0,0,0,0,0,0,21,0,0,0
3608,0,0,0,0,0,0,21,0,0,0
3614,0,0,0,0,0,0,23,0,0,0
3615,0,0,0,0,0,0,21,0,0,0
3616,0,0,0,0,0,0,25,0,0,0
3617,0,0,0,0,0,0,27,0,0,0
3618,0,0,0,0,0,0,25,0,0,0
3620,0,0,0,0,0,0,23,0,0,0
3622,0,0,0,0,0,0,15,0,0,0
3623,0,0,0,0,0,0,39,0,0,0
3625,0,0,0,0,0,0,22,0,0,0
3628,0,0,0,0,0,0,31,0,0,0
3629,0,0,0,0,0,0,33,0,0,0
3630,0,0,0,0,0,0,0,0,0,0
3631,0,0,0,0,0,0,27,0,0,0
3646,0,0,0,0,0,0,26,0,0,0
3647,0,0,0,0,0,0,23,0,0,0
3649,0,0,0,0,0,0,30,0,0,0
3653,0,0,0,0,0,0,19,0,0,0
3654,0,0,0,0,0,0,35,0,0,0
3660,0,0,0,0,0,0,39,0,0,0
3661,0,0,0,0,0,0,19,0,0,0
3662,0,0,0,0,0,0,21,0,0,0
3663,0,0,0,0,0,0,25,0,0,0
3666,0,0,0,0,0,0,35,0,0,0
3668,0,0,0,0,0,0,26,0,0,0
3673,0,0,0,0,0,0,21,0,0,0
3675,0,0,0,0,0,0,31,0,0,0
3677,0,0,0,0,0,0,18,0,0,0
3678,0,0,0,0,0,0,18,0,0,0
3679,0,0,0,0,0,0,14,0,0,0
3688,0,0,0,0,0,0,29,0,0,0
3691,0,0,0,0,0,0,19,0,0,0
