72,39
79,33
82,27
83,62
116,30
119,19
120,19
127,31
128,30
143,24
144,19
146,39
150,29
151,33
152,30
153,30
157,23
161,30
164,47
167,45
168,47
173,51
174,30
195,45
212,28
216,23
217,39
223,33
224,30
228,55
229,23
232,23
236,39
237,39
238,31
239,31
241,23
242,23
243,31
244,31
245,23
247,20
248,23
249,27
251,27
252,33
253,3
254,31
257,39
258,23
259,39
260,35
261,27
262,24
264,27
265,35
266,24
267,57
268,27
270,23
274,31
275,19
276,25
278,19
279,36
280,31
281,57
282,27
284,30
285,51
289,19
291,20
293,55
295,24
296,35
297,27
298,35
301,37
302,23
303,31
304,33
305,33
306,30
307,30
308,27
309,41
310,36
311,31
312,31
313,23
314,39
315,29
316,43
317,27
319,33
320,27
321,27
322,31
323,39
324,51
325,35
326,27
327,39
328,23
330,39
331,27
332,24
334,31
335,27
336,36
337,37
339,24
340,27
341,19
342,29
343,23
344,23
345,35
346,27
347,35
348,30
349,23
350,28
351,39
353,27
354,23
355,43
356,23
357,27
358,36
359,53
360,39
361,43
362,57
363,49
364,27
365,31
366,33
368,39
369,35
372,27
373,19
376,43
377,45
379,42
380,39
382,36
383,39
384,30
385,30
386,43
387,39
388,35
389,27
390,31
391,31
392,35
393,31
394,32
395,30
396,25
397,27
398,31
399,27
400,15
401,42
402,39
403,31
405,40
406,34
407,37
408,23
409,19
410,35
411,23
412,29
414,24
415,42
416,31
417,23
418,23
419,23
420,23
421,19
422,55
423,27
426,29
427,47
428,30
430,30
432,31
433,39
434,30
435,47
436,27
437,24
438,41
439,30
440,32
441,35
442,51
443,23
444,30
445,52
446,39
447,23
448,31
449,30
450,59
453,39
454,35
455,39
456,35
457,39
458,31
459,49
460,23
461,39
462,47
465,39
466,35
467,34
468,49
469,57
470,38
471,31
472,41
473,38
474,47
476,47
477,59
478,31
479,31
480,27
481,25
482,39
483,35
484,44
485,39
486,39
487,36
488,30
490,59
491,51
492,61
494,35
495,25
496,47
497,59
498,30
499,36
500,52
501,43
502,30
503,29
504,45
505,36
507,45
508,24
509,36
511,30
513,27
514,52
515,35
516,31
517,59
518,39
519,61
520,39
522,51
523,51
524,57
525,39
526,39
527,30
528,39
529,41
530,24
531,39
532,43
533,45
534,31
536,29
537,21
539,31
540,30
545,27
546,38
2000,30
2001,15
2002,27
2003,39
2005,12
2006,49
2008,24
2009,35
2010,39
2012,36
2021,43
2022,33
2023,36
3002,25
3016,47
3040,30
3041,24
3042,19
3043,19
3044,27
3046,19
3047,21
3048,19
3049,18
3050,21
3052,23
3053,23
3054,19
3055,23
3056,23
3057,18
3058,24
3059,19
3060,19
3061,21
3062,23
3063,20
3064,23
3065,27
3066,19
3067,27
3068,24
3069,25
3070,23
3071,19
3072,24
3073,27
3074,2
3075,33
3076,24
3077,33
3078,27
3080,21
3081,23
3082,25
3083,30
3085,0
3086,25
3087,30
3088,19
3090,31
3091,31
3092,27
3093,28
3094,18
3095,23
3096,39
3100,39
3101,27
3102,27
3103,30
3105,24
3106,19
3107,39
3108,24
3109,31
3110,27
3111,30
3112,33
3113,27
3115,34
3116,45
3117,27
3118,30
3119,45
3120,20
3121,27
3122,31
3123,27
3124,27
3125,23
3126,34
3127,35
3128,23
3129,31
3130,31
3131,31
