bike,start_time,end_time,start_st,end_st
537_9,2017-07-04 09:57:51.802761,2017-07-04 10:01:38.392203,417,330
442_25,2017-07-04 09:58:29.372405,2017-07-04 10:01:45.276647,319,330
3427_16,2017-07-04 09:58:36.236667,2017-07-04 10:02:38.947493,224,330
3288_19,2017-07-04 10:01:11.241327,2017-07-04 10:04:46.702446,417,327
3312_16,2017-07-04 10:01:26.997268,2017-07-04 10:05:06.248518,330,376
492_7,2017-07-04 10:04:43.752028,2017-07-04 10:05:41.850574,195,376
3143_0,2017-07-04 10:02:21.805157,2017-07-04 10:05:47.334975,330,376
3046_2,2017-07-04 10:02:43.982320,2017-07-04 10:06:26.907092,330,376
3405_3,2017-07-04 10:01:43.885759,2017-07-04 10:07:04.351212,330,376
3150_3,2017-07-04 10:01:07.421106,2017-07-04 10:09:18.272690,417,327
3259_7,2017-07-04 10:08:50.213539,2017-07-04 10:14:00.346991,415,363
3110_0,2017-07-04 10:11:21.374144,2017-07-04 10:15:42.884704,415,363
3466_14,2017-07-04 10:23:23.703153,2017-07-04 10:25:23.581302,248,3436
3243_5,2017-07-04 10:23:48.845452,2017-07-04 10:26:10.967542,248,3436
390_1,2017-07-04 10:20:16.973046,2017-07-04 10:26:32.596572,363,426
505_12,2017-07-04 10:23:50.470129,2017-07-04 10:27:12.369066,426,3436
458_10,2017-07-04 10:21:07.606979,2017-07-04 10:29:19.277796,363,426
3350_9,2017-07-04 10:27:52.769671,2017-07-04 10:31:39.005662,426,146
497_1,2017-07-04 10:30:01.039114,2017-07-04 10:34:12.820097,426,327
3176_10,2017-07-04 10:39:21.379044,2017-07-04 10:48:41.444925,319,257
313_11,2017-07-04 10:46:18.838148,2017-07-04 10:49:18.208205,146,320
3116_9,2017-07-04 10:48:46.160013,2017-07-04 10:51:47.566279,320,330
405_3,2017-07-04 10:49:39.164056,2017-07-04 10:52:24.967821,320,330
3132_4,2017-07-04 10:51:36.102693,2017-07-04 10:52:34.200813,316,319
3117_5,2017-07-04 10:47:30.486370,2017-07-04 10:55:46.615785,146,328
3342_11,2017-07-04 10:53:55.107487,2017-07-04 10:56:41.842102,308,386
368_4,2017-07-04 10:51:53.692473,2017-07-04 10:57:06.483433,320,386
3113_2,2017-07-04 10:52:35.570309,2017-07-04 10:57:08.624225,319,351
3241_8,2017-07-04 10:57:12.252906,2017-07-04 11:03:05.032961,351,279
2006_14,2017-07-04 11:16:17.374156,2017-07-04 11:18:45.444876,363,304
3143_14,2017-07-04 11:16:54.907783,2017-07-04 11:20:08.809409,363,304
