start,starttime,end,allocation
3337,1121,1121,0.00015490212010013226
3338,2241,2241,0.00030966605811275327
3339,3472,3472,0.0004797682078391251
3340,1138,1138,0.00015725121558782384
3341,4775,4775,0.0006598194678663083
3342,1561,1561,0.0002157022386050905
3343,3776,3776,0.0005217755624425508
3344,3290,3290,0.0004546190679120742
3345,3279,3279,0.0004530990649494502
3346,6203,6203,0.0008571434888324
3347,3568,3568,0.0004930336882402069
3348,2712,2712,0.00037474982133056087
3349,13259,13259,0.0018321562983119124
3350,8092,8092,0.0011181694521411867
3351,6515,6515,0.0009002563001359159
3352,1203,1203,0.0001662330512760563
3353,3260,3260,0.0004504736052867361
3354,7293,7293,0.001007761964219683
3355,3763,3763,0.0005199791953049043
3356,5283,5283,0.0007300159683220328
3357,5153,5153,0.0007120522969455679
3358,4098,4098,0.0005662701946211793
3359,3519,3519,0.00048626276595215473
3360,11245,11245,0.001553857574064217
3361,4604,4604,0.0006361903309018813
3362,7949,7949,0.0010984094136270754
3363,2367,2367,0.0003270770011391731
3364,4744,4744,0.000655535823153459
3365,5350,5350,0.0007392741681852878
3366,4527,4527,0.0006255503101635136
3367,7557,7557,0.001044242035322658
3368,6385,6385,0.000882292628759451
3369,3795,3795,0.0005244010221052649
3370,4265,4265,0.0005893466032355613
3371,2245,2245,0.00031021878646279833
3372,9073,9073,0.0012537260799897413
3373,5429,5429,0.000750190553098678
3374,23557,23557,0.003255155435502958
3375,4157,4157,0.0005744229377843442
3376,5775,5775,0.000798001555377577
3377,4294,4294,0.000593353883773388
3378,6147,6147,0.000849405291931769
3379,3592,3592,0.0004963500583404773
3381,2448,2448,0.0003382697502275859
3382,7201,7201,0.0009950492121686462
3383,13750,13750,0.0019000037032799453
3384,4170,4170,0.0005762193049219906
3386,3314,3314,0.00045793543801234463
3387,2379,2379,0.00032873518618930836
3388,3612,3612,0.0004991137000907027
3389,4136,4136,0.0005715211139466075
3390,4009,4009,0.0005539719888326764
3391,2848,2848,0.0003935425852320934
3392,1687,1687,0.00023311318163151039
3393,1356,1356,0.00018737491066528043
3394,677,677,9.354927324512894e-05
3395,792,792,0.00010944021330892485
3396,4768,4768,0.0006588521932537293
3397,4005,4005,0.0005534192604826313
3398,4354,4354,0.0006016448090240641
3399,2089,2089,0.00028866238081104044
3400,6541,6541,0.0009038490344112089
3401,1669,1669,0.00023062590405630755
3402,8777,8777,0.0012128241820864058
3403,4220,4220,0.0005831284092975541
3404,3209,3209,0.0004434263188236614
3405,2519,2519,0.000348080678440886
3407,4554,4554,0.0006292812265263179
3408,5603,5603,0.0007742342363256388
3409,13829,13829,0.0019109200881933354
3410,3589,3589,0.0004959355120779435
3411,4293,4293,0.0005932157016858767
3412,3490,3490,0.00048225548541432794
3413,3259,3259,0.00045033542319922485
3414,5792,5792,0.0008003506508652686
3415,4092,4092,0.0005654411020961117
3416,8880,8880,0.0012270569371000664
3417,4954,4954,0.0006845540615308253
3418,10141,10141,0.0014013045494517763
3419,4179,4179,0.0005774629437095921
3420,4548,4548,0.0006284521340012502
3421,1989,1989,0.0002748441720599135
3422,4703,4703,0.0006498703575654969
3423,10043,10043,0.001387762704875672
3424,1937,1937,0.00026765870350932755
3425,3509,3509,0.00048488094507704205
3427,28717,28717,0.003968175007061104
3428,25425,25425,0.003513279574974008
3429,15061,15061,0.0020811604200072185
3430,4983,4983,0.0006885613420686521
3431,11750,11750,0.0016236395282574077
3432,315,315,4.352735756604966e-05
3434,5474,5474,0.0007564087470366851
3435,28213,28213,0.003898531234955425
3436,15914,15914,0.0021990297406543307
3437,3003,3003,0.00041496080879634004
3438,5164,5164,0.0007135722999081918
3440,10602,10602,0.0014650064917944713
3441,1888,1888,0.0002608877812212754
3443,24155,24155,0.0033377883238346964
3445,2579,2579,0.0003563716036915621
3447,8080,8080,0.0011165112670910515
3449,2270,2270,0.00031367333865058006
3452,2563,2563,0.0003541606902913818
3453,5956,5956,0.0008230125132171166
3454,4286,4286,0.0005922484270732978
3455,3131,3131,0.00043264811599778245
3456,1397,1397,0.00019304037625324244
3457,3965,3965,0.0005478919769821806
3458,17828,17828,0.0024635102561508995
3459,10969,10969,0.001515719317911107
3461,13075,13075,0.0018067307942098388
3462,8885,8885,0.001227747847537623
3463,15085,15085,0.002084476790107489
3464,5522,5522,0.000763041487237226
3466,13763,13763,0.0019018000704175918
3467,5685,5685,0.0007855651675015629
3468,118,118,1.6305486326329712e-05
3469,2502,2502,0.0003457315829531944
3470,9,9,1.2436387876014188e-06
3472,11841,11841,0.0016362140982209333
3474,7561,7561,0.001044794763672703
3476,3180,3180,0.0004394190382858346
3477,588,588,8.125106745662603e-05
3478,1650,1650,0.00022800044439359344
3479,2153,2153,0.00029750603441176164
3481,300,300,4.145462625338062e-05
3486,1301,1301,0.00017977489585216063
3489,1463,1463,0.00020216039402898617
3490,181,181,2.5010957839539644e-05
3492,60,60,8.290925250676125e-06
3493,132,132,1.8240035551487476e-05
3494,192,192,2.65309608021636e-05
3495,164,164,2.2661862351848074e-05
3496,342,342,4.725827392885391e-05
3497,543,543,7.503287351861892e-05
3499,70,70,9.672746125788813e-06
3500,145,145,2.003640268913397e-05
3501,159,159,2.197095191429173e-05
3502,158,158,2.183276982678046e-05
3503,126,126,1.7410943026419863e-05
3504,160,160,2.2109134001803e-05
3506,33,33,4.560008887871869e-06
3507,55,55,7.600014813119781e-06
3508,340,340,4.6981909753831374e-05
3509,554,554,7.655287648124288e-05
3510,246,246,3.399279352777211e-05
3511,416,416,5.7483748404687796e-05
3518,325,325,4.4909178441162345e-05
3529,253,253,3.496006814035099e-05
3531,134,134,1.8516399726510013e-05
3533,181,181,2.5010957839539644e-05
3535,204,204,2.8189145852298826e-05
3536,815,815,0.00011261840132168403
3538,199,199,2.7498235414742482e-05
3540,192,192,2.65309608021636e-05
3541,54,54,7.461832725608512e-06
3542,679,679,9.382563742015148e-05
3545,298,298,4.1178262078358084e-05
3547,335,335,4.629099931627503e-05
